world,node,child,value_0.2_1,value_0.28_1,value_0.391_1,value_0.547_1,value_0.765_1,value_1.07_1,value_1.496_1,value_2.092_1,value_2.925_1,value_4.091_1,value_5.721_1,value_8_1
hard_two_big_rooms_0,N67124,N13721,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9683,0.9202,0.8517,0.7773
hard_two_big_rooms_0,N67124,N16176,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0317,0.0798,0.1483,0.2227
hard_two_big_rooms_0,N22455,N25650,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9683,0.9202,0.8517,0.7773
hard_two_big_rooms_0,N22455,N47762,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0317,0.0798,0.1483,0.2227
hard_two_big_rooms_0,N47416,N46789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9958,0.976,0.9208,0.8259
hard_two_big_rooms_0,N47416,N83939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0021,0.012,0.0396,0.087
hard_two_big_rooms_0,N47416,N70770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0021,0.012,0.0396,0.087
hard_two_big_rooms_0,N41190,N31435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.9958,0.9804,0.9425,0.8808
hard_two_big_rooms_0,N41190,N61761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0042,0.0196,0.0575,0.1192
hard_two_big_rooms_0,N14682,N29713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.9958,0.9804,0.9425,0.8808
hard_two_big_rooms_0,N14682,N96894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0042,0.0196,0.0575,0.1192
hard_two_big_rooms_0,N52670,N85738,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9985,0.9883,0.9515,0.8735
hard_two_big_rooms_0,N52670,N27922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0058,0.0242,0.0633
hard_two_big_rooms_0,N52670,N84096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0058,0.0242,0.0633
hard_two_big_rooms_0,N99935,N84121,1.0,1.0,1.0,0.9993,0.9947,0.9768,0.9355,0.8712,0.7965,0.7236,0.6568,0.5956
hard_two_big_rooms_0,N99935,N87124,0.0,0.0,0.0,0.0007,0.0053,0.0232,0.0645,0.1287,0.2029,0.2722,0.3264,0.3613
hard_two_big_rooms_0,N99935,N75853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0043,0.0167,0.0431
hard_two_big_rooms_0,N85523,N77710,1.0,1.0,1.0,0.9993,0.9947,0.9768,0.9355,0.8712,0.7965,0.7236,0.6568,0.5956
hard_two_big_rooms_0,N85523,N79217,0.0,0.0,0.0,0.0007,0.0053,0.0232,0.0645,0.1287,0.2029,0.2722,0.3264,0.3613
hard_two_big_rooms_0,N85523,N57032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0043,0.0167,0.0431
hard_two_big_rooms_0,N46466,N23038,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9684,0.9204,0.852
hard_two_big_rooms_0,N46466,N82652,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0316,0.0796,0.148
hard_two_big_rooms_0,N11957,N32529,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9461,0.8844,0.8045,0.7177,0.6338
hard_two_big_rooms_0,N11957,N25641,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0537,0.1137,0.1856,0.2515,0.2994
hard_two_big_rooms_0,N11957,N66462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0019,0.0099,0.0309,0.0668
hard_two_big_rooms_0,N82907,N91798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9955,0.9753,0.9197,0.8248
hard_two_big_rooms_0,N82907,N89595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.003,0.0153,0.0471,0.0985
hard_two_big_rooms_0,N82907,N60153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0015,0.0094,0.0332,0.0767
hard_two_big_rooms_0,N46758,N27664,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9684,0.9204,0.852
hard_two_big_rooms_0,N46758,N40071,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0316,0.0796,0.148
hard_two_big_rooms_0,N76984,N74619,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9461,0.8844,0.8045,0.7177,0.6338
hard_two_big_rooms_0,N76984,N39363,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0537,0.1137,0.1856,0.2515,0.2994
hard_two_big_rooms_0,N76984,N17265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0019,0.0099,0.0309,0.0668
hard_two_big_rooms_0,N45719,N22362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9955,0.9753,0.9197,0.8248
hard_two_big_rooms_0,N45719,N83910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.003,0.0153,0.0471,0.0985
hard_two_big_rooms_0,N45719,N50824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0015,0.0094,0.0332,0.0767
hard_two_big_rooms_0,N29390,N34909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.9958,0.9804,0.9425,0.8808
hard_two_big_rooms_0,N29390,N84750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0042,0.0196,0.0575,0.1192
hard_two_big_rooms_0,N82377,N85309,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.9958,0.9804,0.9425,0.8808
hard_two_big_rooms_0,N82377,N22311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0042,0.0196,0.0575,0.1192
hard_two_big_rooms_0,N78291,N94066,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9683,0.9202,0.8517,0.7773
hard_two_big_rooms_0,N78291,N47959,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0317,0.0798,0.1483,0.2227
hard_two_big_rooms_0,N90794,N10294,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9683,0.9202,0.8517,0.7773
hard_two_big_rooms_0,N90794,N54927,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0317,0.0798,0.1483,0.2227
hard_two_big_rooms_0,N26232,N86171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9958,0.976,0.9208,0.8259
hard_two_big_rooms_0,N26232,N74412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0021,0.012,0.0396,0.087
hard_two_big_rooms_0,N26232,N45116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0021,0.012,0.0396,0.087
hard_two_big_rooms_0,N71310,N34547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9955,0.9753,0.9197,0.8248
hard_two_big_rooms_0,N71310,N49049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.003,0.0153,0.0471,0.0985
hard_two_big_rooms_0,N71310,N52124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0015,0.0094,0.0332,0.0767
hard_two_big_rooms_0,N75891,N14445,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9461,0.8844,0.8045,0.7177,0.6338
