world,node,child,value_0.2_0,value_0.28_0,value_0.391_0,value_0.547_0,value_0.765_0,value_1.07_0,value_1.496_0,value_2.092_0,value_2.925_0,value_4.091_0,value_5.721_0,value_8_0
4ways_mirror,N71965,N68849,0.0,0.0,0.0005,0.004,0.0178,0.0475,0.0879,0.1281,0.1614,0.1866,0.2049,0.218
4ways_mirror,N71965,N87420,0.0,0.0008,0.006,0.025,0.0658,0.1209,0.1715,0.2066,0.2272,0.2383,0.244,0.247
4ways_mirror,N71965,N28069,1.0,0.9992,0.9931,0.967,0.8986,0.7841,0.6528,0.5373,0.4501,0.3885,0.3462,0.3171
4ways_mirror,N55786,N68398,0.0,0.0,0.0005,0.004,0.0181,0.0499,0.0963,0.1469,0.1924,0.2294,0.2577,0.2787
4ways_mirror,N55786,N22049,0.0,0.0008,0.006,0.0251,0.067,0.127,0.188,0.2369,0.2709,0.2929,0.3069,0.3158
4ways_mirror,N55786,N79058,1.0,0.9992,0.9936,0.9709,0.9149,0.8232,0.7157,0.6162,0.5367,0.4776,0.4354,0.4055
4ways_mirror,N68849,N28828,0.0,0.0,0.0005,0.004,0.0178,0.0475,0.0879,0.1281,0.1614,0.1866,0.2049,0.218
4ways_mirror,N68849,N48426,0.0,0.0,0.0005,0.004,0.0178,0.0475,0.0879,0.1281,0.1614,0.1866,0.2049,0.218
4ways_mirror,N68849,N16410,0.0,0.0008,0.006,0.025,0.0658,0.1209,0.1715,0.2066,0.2272,0.2383,0.244,0.247
4ways_mirror,N68849,N53771,1.0,0.9992,0.9931,0.967,0.8986,0.7841,0.6528,0.5373,0.4501,0.3885,0.3462,0.3171
4ways_mirror,N87420,N90986,1.0,1.0,0.9991,0.9918,0.9619,0.8919,0.7879,0.6772,0.5824,0.51,0.4579,0.4211
4ways_mirror,N87420,N68046,0.0,0.0,0.0005,0.0041,0.0191,0.054,0.1061,0.1614,0.2088,0.245,0.271,0.2894
4ways_mirror,N87420,N93564,0.0,0.0,0.0005,0.0041,0.0191,0.054,0.1061,0.1614,0.2088,0.245,0.271,0.2894
4ways_mirror,N28069,N21757,0.9867,0.9468,0.8658,0.7568,0.6489,0.5601,0.4938,0.4464,0.4131,0.3897,0.3732,0.3617
4ways_mirror,N28069,N22145,0.0066,0.0266,0.0671,0.1216,0.1756,0.22,0.2531,0.2768,0.2935,0.3052,0.3134,0.3192
4ways_mirror,N28069,N71364,0.0066,0.0266,0.0671,0.1216,0.1756,0.22,0.2531,0.2768,0.2935,0.3052,0.3134,0.3192
4ways_mirror,N68398,N60588,0.0,0.0,0.0005,0.004,0.0181,0.0499,0.0963,0.1469,0.1924,0.2294,0.2577,0.2787
4ways_mirror,N68398,N23137,0.0,0.0008,0.006,0.0251,0.067,0.127,0.188,0.2369,0.2709,0.2929,0.3069,0.3158
4ways_mirror,N68398,N79304,1.0,0.9992,0.9936,0.9709,0.9149,0.8232,0.7157,0.6162,0.5367,0.4776,0.4354,0.4055
4ways_mirror,N22049,N94824,1.0,1.0,0.9995,0.9959,0.9806,0.9429,0.8814,0.8075,0.7361,0.6755,0.6282,0.5927
4ways_mirror,N22049,N37493,0.0,0.0,0.0005,0.0041,0.0194,0.0571,0.1186,0.1925,0.2639,0.3245,0.3718,0.4073
4ways_mirror,N79058,N46312,0.9933,0.9727,0.9281,0.8615,0.787,0.718,0.6612,0.6173,0.5846,0.5608,0.5436,0.5312
4ways_mirror,N79058,N31173,0.0067,0.0273,0.0719,0.1385,0.213,0.282,0.3388,0.3827,0.4154,0.4392,0.4564,0.4688
4ways_mirror,N28828,N75273,0.0,0.0,0.0005,0.004,0.0181,0.0499,0.0963,0.1469,0.1924,0.2294,0.2577,0.2787
4ways_mirror,N28828,N37033,0.0,0.0008,0.006,0.0251,0.067,0.127,0.188,0.2369,0.2709,0.2929,0.3069,0.3158
4ways_mirror,N28828,N88234,1.0,0.9992,0.9936,0.9709,0.9149,0.8232,0.7157,0.6162,0.5367,0.4776,0.4354,0.4055
4ways_mirror,N48426,N41451,0.0,0.0,0.0005,0.004,0.0181,0.0499,0.0963,0.1469,0.1924,0.2294,0.2577,0.2787
4ways_mirror,N48426,N27413,0.0,0.0008,0.006,0.0251,0.067,0.127,0.188,0.2369,0.2709,0.2929,0.3069,0.3158
4ways_mirror,N48426,N45999,1.0,0.9992,0.9936,0.9709,0.9149,0.8232,0.7157,0.6162,0.5367,0.4776,0.4354,0.4055
4ways_mirror,N16410,N32267,1.0,1.0,0.9991,0.9918,0.9619,0.8919,0.7879,0.6772,0.5824,0.51,0.4579,0.4211
4ways_mirror,N16410,N87145,0.0,0.0,0.0005,0.0041,0.0191,0.054,0.1061,0.1614,0.2088,0.245,0.271,0.2894
4ways_mirror,N16410,N55789,0.0,0.0,0.0005,0.0041,0.0191,0.054,0.1061,0.1614,0.2088,0.245,0.271,0.2894
4ways_mirror,N53771,N38229,0.9867,0.9468,0.8658,0.7568,0.6489,0.5601,0.4938,0.4464,0.4131,0.3897,0.3732,0.3617
