"model","LL","tau","gamma","beta","k","bits","budget","c","subject","modeltype"
"Steps-Cells-Num",-24.6950884035701,0.248,NA,NA,0.72,0.5,NA,NA,"S40001880","Heuristic"
"Steps-Num",-27.2288756758728,0.393,NA,NA,1,0.34,NA,NA,"S40001880","Heuristic"
"Cells",-53.5669200706019,8,NA,NA,0,NA,NA,NA,"S15975550","Heuristic"
"Cells-Num",-46.3035009160902,8,NA,NA,0,0.1,NA,NA,"S15975550","Heuristic"
"DU",-25.6412105395512,0.8074,0.16,1,NA,NA,NA,NA,"S15975550","Planning"
"DU-Num",-26.3270395583,0.4464,0.24,1,NA,1.9,NA,NA,"S15975550","Planning"
"EU",-46.2408754715976,7.5442,1,1,NA,NA,NA,NA,"S15975550","Planning"
"EU-Num",-46.2408754715976,7.5442,1,1,NA,10,NA,NA,"S15975550","Planning"
"PW",-24.7662542516631,0.6466,1,0.1268,NA,NA,NA,NA,"S15975550","Planning"
"PW_DU",-25.2967384254,0.851,0.08,0.48,NA,NA,NA,NA,"S15975550","Planning"
"Random",-45.0177018536415,1,NA,NA,NA,NA,NA,NA,"S15975550","Heuristic"
"Sampling",-26.6936935971306,NA,NA,NA,NA,NA,8.8,1.6,"S15975550","Planning"
"Steps",-21.3532098936871,0.9044,NA,NA,1,NA,NA,NA,"S15975550","Heuristic"
"Steps-Cells",-21.279872833488,0.5594,NA,NA,0.84,NA,NA,NA,"S15975550","Heuristic"
"Steps-Cells-Num",-18.6982232291025,0.216,NA,NA,0.84,0.5,NA,NA,"S15975550","Heuristic"
"Steps-Num",-21.649309314681,0.2542,NA,NA,1,0.34,NA,NA,"S15975550","Heuristic"
"Cells",-49.7956389307539,8,NA,NA,0,NA,NA,NA,"S96558290","Heuristic"
"Cells-Num",-46.9974577279963,4.1838,NA,NA,0,0.1,NA,NA,"S96558290","Heuristic"
"DU",-33.9570584977432,0.7214,0.69,1,NA,NA,NA,NA,"S96558290","Planning"
"DU-Num",-34.2603103,0.603,0.54,1,NA,4.8,NA,NA,"S96558290","Planning"
"EU",-45.6709885261183,2.0542,1,1,NA,NA,NA,NA,"S96558290","Planning"
"EU-Num",-45.6709885261183,2.0542,1,1,NA,10,NA,NA,"S96558290","Planning"
"PW",-35.705448864973,0.7824,1,0.4766,NA,NA,NA,NA,"S96558290","Planning"
"PW_DU",-35.96727135,0.7824,0.72,1.0606,NA,NA,NA,NA,"S96558290","Planning"
"Random",-45.5928659885443,1,NA,NA,NA,NA,NA,NA,"S96558290","Heuristic"
"Sampling",-57.1534858491038,NA,NA,NA,NA,NA,16,2.6,"S96558290","Planning"
"Steps",-36.980289491658,2.5918,NA,NA,1,NA,NA,NA,"S96558290","Heuristic"
"Steps-Cells",-31.5892091379658,0.7214,NA,NA,0.6,NA,NA,NA,"S96558290","Heuristic"
"Steps-Cells-Num",-33.3802401649019,0.28,NA,NA,0.62,0.5,NA,NA,"S96558290","Heuristic"
"Steps-Num",-37.4941268817612,0.4846,NA,NA,1,0.1,NA,NA,"S96558290","Heuristic"
"Cells",-31.6683624079641,1.9728,NA,NA,0,NA,NA,NA,"S21173502","Heuristic"
"Cells-Num",-29.791710759331,0.765,NA,NA,0,0.5,NA,NA,"S21173502","Heuristic"
"DU",-29.7874936710586,0.6778,0.99,1,NA,NA,NA,NA,"S21173502","Planning"
"DU-Num",-26.406275903,0.4846,0.84,1,NA,1.9,NA,NA,"S21173502","Planning"
"EU",-29.413959148589,0.6778,1,1,NA,NA,NA,NA,"S21173502","Planning"
"EU-Num",-27.3156602499584,0.6778,1,1,NA,3.38,NA,NA,"S21173502","Planning"
"PW",-30.0085706959307,0.826,1,1.2716,NA,NA,NA,NA,"S21173502","Planning"
"PW_DU",-29.1847280332,0.887,0.966,1.434,NA,NA,NA,NA,"S21173502","Planning"
"Random",-41.7215649726361,1,NA,NA,NA,NA,NA,NA,"S21173502","Heuristic"
"Sampling",-34.7626181483804,NA,NA,NA,NA,NA,714,16.6,"S21173502","Planning"
"Steps",-46.7374548165275,8,NA,NA,1,NA,NA,NA,"S21173502","Heuristic"
"Steps-Cells",-30.1308898678634,0.6778,NA,NA,0.32,NA,NA,NA,"S21173502","Heuristic"
"Steps-Cells-Num",-28.8078355768445,0.2542,NA,NA,0.36,0.5,NA,NA,"S21173502","Heuristic"
"Steps-Num",-43.0980939267017,5.069,NA,NA,1,0.1,NA,NA,"S21173502","Heuristic"
"Cells",-46.6693508741949,8,NA,NA,0,NA,NA,NA,"S1348601","Heuristic"
"Cells-Num",-43.2826455412309,5.069,NA,NA,0,0.1,NA,NA,"S1348601","Heuristic"
"DU",-33.7674047053759,1.4108,0.58,1,NA,NA,NA,NA,"S1348601","Planning"
"DU-Num",-36.33190414,0.4658,0.28,1,NA,0.92,NA,NA,"S1348601","Planning"
"EU",-41.1351630896946,3.3914,1,1,NA,NA,NA,NA,"S1348601","Planning"
"EU-Num",-41.1351630896946,3.3914,1,1,NA,10,NA,NA,"S1348601","Planning"
"PW",-33.5772492279351,1.4108,1,0.3574,NA,NA,NA,NA,"S1348601","Planning"
"PW_DU",-35.585993123,1.4108,0.74,1.0572,NA,NA,NA,NA,"S1348601","Planning"
"Random",-42.0091470400876,1,NA,NA,NA,NA,NA,NA,"S1348601","Heuristic"
"Sampling",-45.2730214121264,NA,NA,NA,NA,NA,7.8,3.4,"S1348601","Planning"
"Steps",-35.0125057153554,2.7584,NA,NA,1,NA,NA,NA,"S1348601","Heuristic"
"Steps-Cells",-36.2648788138379,1.3498,NA,NA,0.68,NA,NA,NA,"S1348601","Heuristic"
"Steps-Cells-Num",-34.2593321676304,0.264,NA,NA,0.68,0.1,NA,NA,"S1348601","Heuristic"
"Steps-Num",-34.4100753512488,0.5158,NA,NA,1,0.1,NA,NA,"S1348601","Heuristic"
"Cells",-46.9929389995397,8,NA,NA,0,NA,NA,NA,"S12588186","Heuristic"
"Cells-Num",-45.7472683670908,2.7584,NA,NA,0,0.1,NA,NA,"S12588186","Heuristic"
"DU",-42.2295498642678,1.9728,0.74,1,NA,NA,NA,NA,"S12588186","Planning"
"DU-Num",-44.316361022,0.506,0.4,1,NA,0.34,NA,NA,"S12588186","Planning"
"EU",-43.8927166791211,2.9916,1,1,NA,NA,NA,NA,"S12588186","Planning"
"EU-Num",-43.8927166791211,2.9916,1,1,NA,10,NA,NA,"S12588186","Planning"
"PW",-43.4306679958445,2.2586,1,0.5698,NA,NA,NA,NA,"S12588186","Planning"
"PW_DU",-42.913472938,1.8536,0.63,2,NA,NA,NA,NA,"S12588186","Planning"
"Random",-44.612136740533,1,NA,NA,NA,NA,NA,NA,"S12588186","Heuristic"
"Sampling",-44.4723067261004,NA,NA,NA,NA,NA,10,10.6,"S12588186","Planning"
"Steps",-44.3026643343478,6.6326,NA,NA,1,NA,NA,NA,"S12588186","Heuristic"
"Steps-Cells",-44.9120544873576,2.2586,NA,NA,0.56,NA,NA,NA,"S12588186","Heuristic"
"Steps-Cells-Num",-45.1797040093889,0.4222,NA,NA,0.56,0.1,NA,NA,"S12588186","Heuristic"
"Steps-Num",-44.7165699468368,1.4448,NA,NA,1,0.1,NA,NA,"S12588186","Heuristic"
"Cells",-50.0985037911941,8,NA,NA,0,NA,NA,NA,"S99570039","Heuristic"
"Cells-Num",-46.1138318173039,5.395,NA,NA,0,0.1,NA,NA,"S99570039","Heuristic"
"DU",-34.6352430852209,0.9044,0.62,1,NA,NA,NA,NA,"S99570039","Planning"
"DU-Num",-40.067577151,0.5724,0.44,1,NA,2.04,NA,NA,"S99570039","Planning"
"EU",-43.2425916449904,2.4252,1,1,NA,NA,NA,NA,"S99570039","Planning"
"EU-Num",-43.2425916449904,2.4252,1,1,NA,10,NA,NA,"S99570039","Planning"
"PW",-33.5357587945672,0.948,1,0.4088,NA,NA,NA,NA,"S99570039","Planning"
"PW_DU",-34.325784611,0.9654,0.5,1.8868,NA,NA,NA,NA,"S99570039","Planning"
"Random",-44.8997188079844,1,NA,NA,NA,NA,NA,NA,"S99570039","Heuristic"
"Sampling",-48.9908242366461,NA,NA,NA,NA,NA,12,3.2,"S99570039","Planning"
"Steps",-35.414327967003,1.9728,NA,NA,1,NA,NA,NA,"S99570039","Heuristic"
"Steps-Cells",-35.1819372113113,0.826,NA,NA,0.64,NA,NA,NA,"S99570039","Heuristic"
"Steps-Cells-Num",-35.9580438574731,0.2,NA,NA,0.66,0.1,NA,NA,"S99570039","Heuristic"
"Steps-Num",-35.0993202826597,0.3688,NA,NA,1,0.1,NA,NA,"S99570039","Heuristic"
"Cells",-49.3603413706793,8,NA,NA,0,NA,NA,NA,"S75163036","Heuristic"
"Cells-Num",-46.7264995655562,4.1838,NA,NA,0,0.1,NA,NA,"S75163036","Heuristic"
"DU",-40.4950711600256,1.0332,0.68,1,NA,NA,NA,NA,"S75163036","Planning"
"DU-Num",-36.831069729,0.4312,0.4,1,NA,0.8,NA,NA,"S75163036","Planning"
"EU",-45.5140977826301,2.6392,1,1,NA,NA,NA,NA,"S75163036","Planning"
"EU-Num",-45.5140977826301,2.6392,1,1,NA,10,NA,NA,"S75163036","Planning"
"PW",-38.1870594495351,1.2404,1,0.4386,NA,NA,NA,NA,"S75163036","Planning"
"PW_DU",-42.8125252752,1.0332,0.56,2,NA,NA,NA,NA,"S75163036","Planning"
"Random",-45.3052839210929,1,NA,NA,NA,NA,NA,NA,"S75163036","Heuristic"
"Sampling",-49.1976748381185,NA,NA,NA,NA,NA,9.4,6.6,"S75163036","Planning"
"Steps",-40.1309250617084,2.9916,NA,NA,1,NA,NA,NA,"S75163036","Heuristic"
"Steps-Cells",-38.8067974375265,0.887,NA,NA,0.58,NA,NA,NA,"S75163036","Heuristic"
"Steps-Cells-Num",-37.9695048567049,0.2924,NA,NA,0.62,0.34,NA,NA,"S75163036","Heuristic"
"Steps-Num",-40.4270178387239,0.7388,NA,NA,1,0.26,NA,NA,"S75163036","Heuristic"
"Cells",-43.8738085506477,5.395,NA,NA,0,NA,NA,NA,"S12508800","Heuristic"
"Cells-Num",-43.9225109717241,1.07,NA,NA,0,0.1,NA,NA,"S12508800","Heuristic"
"DU",-32.0064927255735,0.7214,0.95,1,NA,NA,NA,NA,"S12508800","Planning"
"DU-Num",-25.81372062,0.248,0.58,1,NA,0.9,NA,NA,"S12508800","Planning"
"EU",-32.2238777307991,0.765,1,1,NA,NA,NA,NA,"S12508800","Planning"
"EU-Num",-32.5017851475232,0.765,1,1,NA,6.2,NA,NA,"S12508800","Planning"
"PW",-32.3244018976993,0.765,1,1.028,NA,NA,NA,NA,"S12508800","Planning"
"PW_DU",-30.3947670801,0.5906,0.84,1.434,NA,NA,NA,NA,"S12508800","Planning"
"Random",-44.8997188079844,1,NA,NA,NA,NA,NA,NA,"S12508800","Heuristic"
"Sampling",-40.8169198260917,NA,NA,NA,NA,NA,130,8.6,"S12508800","Planning"
"Steps",-45.6936853666742,8,NA,NA,1,NA,NA,NA,"S12508800","Heuristic"
"Steps-Cells",-40.1672946379128,1.1552,NA,NA,0.4,NA,NA,NA,"S12508800","Heuristic"
"Steps-Cells-Num",-40.8278833276495,0.384,NA,NA,0.48,0.42,NA,NA,"S12508800","Heuristic"
"Steps-Num",-45.3366841397487,1.9728,NA,NA,1,0.1,NA,NA,"S12508800","Heuristic"
"Cells",-46.1446985633264,6.6326,NA,NA,0,NA,NA,NA,"S72002294","Heuristic"
"Cells-Num",-47.0019799872417,1.1184,NA,NA,0,0.1,NA,NA,"S72002294","Heuristic"
"DU",-38.0262385386576,1.07,0.89,1,NA,NA,NA,NA,"S72002294","Planning"
"DU-Num",-38.3906897412,0.2542,0.44,1,NA,0.26,NA,NA,"S72002294","Planning"
"EU",-39.3738851311606,1.3256,1,1,NA,NA,NA,NA,"S72002294","Planning"
"EU-Num",-39.6289327272596,1.3256,1,1,NA,8.2,NA,NA,"S72002294","Planning"
"PW",-39.4774648040809,1.3256,1,1.028,NA,NA,NA,NA,"S72002294","Planning"
"PW_DU",-35.83781302,1.009,0.75,2,NA,NA,NA,NA,"S72002294","Planning"
"Random",-45.9984311016528,1,NA,NA,NA,NA,NA,NA,"S72002294","Heuristic"
"Sampling",-38.7615697294441,NA,NA,NA,NA,NA,14,9.6,"S72002294","Planning"
"Steps",-45.9710049009347,8,NA,NA,1,NA,NA,NA,"S72002294","Heuristic"
"Steps-Cells",-43.0089555951811,1.009,NA,NA,0.44,NA,NA,NA,"S72002294","Heuristic"
"Steps-Cells-Num",-42.6920625826357,0.2382,NA,NA,0.44,0.18,NA,NA,"S72002294","Heuristic"
"Steps-Num",-46.295298001855,1.6152,NA,NA,1,0.1,NA,NA,"S72002294","Heuristic"
"Cells",-52.8020152533214,8,NA,NA,0,NA,NA,NA,"S40690866","Heuristic"
"Cells-Num",-46.4605656455599,8,NA,NA,0,0.1,NA,NA,"S40690866","Heuristic"
"DU",-29.9791618016219,0.8434,0.54,1,NA,NA,NA,NA,"S40690866","Planning"
"DU-Num",-32.8712297921,0.4624,0.4,1,NA,2.82,NA,NA,"S40690866","Planning"
"EU",-46.1316546052519,3.2248,1,1,NA,NA,NA,NA,"S40690866","Planning"
"EU-Num",-46.1316546052519,3.2248,1,1,NA,10,NA,NA,"S40690866","Planning"
"PW",-29.1006094822655,0.7824,1,0.331,NA,NA,NA,NA,"S40690866","Planning"
"PW_DU",-29.022493278,0.7824,0.974,0.331,NA,NA,NA,NA,"S40690866","Planning"
"Random",-45.3052839210929,1,NA,NA,NA,NA,NA,NA,"S40690866","Heuristic"
"Sampling",-22.5483557534779,NA,NA,NA,NA,NA,9,1,"S40690866","Planning"
"Steps",-29.2319849928403,1.6152,NA,NA,1,NA,NA,NA,"S40690866","Heuristic"
"Steps-Cells",-29.6754292097947,1.2404,NA,NA,0.86,NA,NA,NA,"S40690866","Heuristic"
"Steps-Cells-Num",-29.4852198179375,0.264,NA,NA,0.9,0.1,NA,NA,"S40690866","Heuristic"
"Steps-Num",-29.2378834380893,0.3022,NA,NA,1,0.1,NA,NA,"S40690866","Heuristic"
"Cells",-46.6829198001588,8,NA,NA,0,NA,NA,NA,"S11207975","Heuristic"
"Cells-Num",-45.1234245307455,3.784,NA,NA,0,0.1,NA,NA,"S11207975","Heuristic"
"DU",-43.7787837459243,2.5918,0.61,1,NA,NA,NA,NA,"S11207975","Planning"
"DU-Num",-43.9239092,0.6342,0.24,1,NA,0.18,NA,NA,"S11207975","Planning"
"EU",-43.3381102534074,4.1838,1,1,NA,NA,NA,NA,"S11207975","Planning"
"EU-Num",-43.4092877995079,4.1838,1,1,NA,9.2,NA,NA,"S11207975","Planning"
"PW",-43.6381501604835,2.5918,1,0.4804,NA,NA,NA,NA,"S11207975","Planning"
"PW_DU",-45.0486518,3.151,0.576,0.93,NA,NA,NA,NA,"S11207975","Planning"
"Random",-43.107859333756,1,NA,NA,NA,NA,NA,NA,"S11207975","Heuristic"
"Sampling",-55.2802395253686,NA,NA,NA,NA,NA,13.2,24,"S11207975","Planning"
"Steps",-42.5871774916073,4.8358,NA,NA,1,NA,NA,NA,"S11207975","Heuristic"
"Steps-Cells",-45.0347265412009,2.4918,NA,NA,0.7,NA,NA,NA,"S11207975","Heuristic"
"Steps-Cells-Num",-44.2932671941079,0.497,NA,NA,0.72,0.1,NA,NA,"S11207975","Heuristic"
"Steps-Num",-41.0951502454433,0.887,NA,NA,1,0.1,NA,NA,"S11207975","Heuristic"
"Cells",-54.2138131835816,8,NA,NA,0,NA,NA,NA,"S25371665","Heuristic"
"Cells-Num",-48.0490502693288,7.0884,NA,NA,0,0.1,NA,NA,"S25371665","Heuristic"
"DU",-30.655844498696,1.496,0.2,1,NA,NA,NA,NA,"S25371665","Planning"
"DU-Num",-34.2056494432,0.4754,0.12,1,NA,0.36,NA,NA,"S25371665","Planning"
"EU",-49.7773586405211,6.985,1,1,NA,NA,NA,NA,"S25371665","Planning"
"EU-Num",-49.7773586405211,6.985,1,1,NA,10,NA,NA,"S25371665","Planning"
"PW",-31.1740061887565,1.4108,1,0.1,NA,NA,NA,NA,"S25371665","Planning"
"PW_DU",-31.936651081,1.2646,0.16,0.8678,NA,NA,NA,NA,"S25371665","Planning"
"Random",-46.6915782822128,1,NA,NA,NA,NA,NA,NA,"S25371665","Heuristic"
"Sampling",-36.6822684364376,NA,NA,NA,NA,NA,9.4,2,"S25371665","Planning"
"Steps",-29.7487618424009,1.6152,NA,NA,1,NA,NA,NA,"S25371665","Heuristic"
"Steps-Cells",-30.6611576305011,1.3256,NA,NA,0.9,NA,NA,NA,"S25371665","Heuristic"
"Steps-Cells-Num",-31.3663140423474,0.2,NA,NA,0.78,0.1,NA,NA,"S25371665","Heuristic"
"Steps-Num",-31.5786558694698,0.3778,NA,NA,1,0.18,NA,NA,"S25371665","Heuristic"
"Cells",-39.4907725516502,4.417,NA,NA,0,NA,NA,NA,"S33556439","Heuristic"
"Cells-Num",-39.823093455535,0.826,NA,NA,0,0.1,NA,NA,"S33556439","Heuristic"
"DU",-34.7165258423762,1.2404,0.99,1,NA,NA,NA,NA,"S33556439","Planning"
"DU-Num",-39.04348933,0.9584,0.858,1,NA,3.14,NA,NA,"S33556439","Planning"
"EU",-34.634881020553,1.2404,1,1,NA,NA,NA,NA,"S33556439","Planning"
"EU-Num",-35.0317836705448,1.3256,1,1,NA,4.12,NA,NA,"S33556439","Planning"
"PW",-35.918914996629,1.4448,1,1.1092,NA,NA,NA,NA,"S33556439","Planning"
"PW_DU",-35.8965098,1.3256,0.982,1.1092,NA,NA,NA,NA,"S33556439","Planning"
"Random",-41.0284177920762,1,NA,NA,NA,NA,NA,NA,"S33556439","Heuristic"
"Sampling",-36.5582273595483,NA,NA,NA,NA,NA,604,21.2,"S33556439","Planning"
"Steps",-43.4827699358693,8,NA,NA,1,NA,NA,NA,"S33556439","Heuristic"
"Steps-Cells",-38.8825267415569,1.3596,NA,NA,0.38,NA,NA,NA,"S33556439","Heuristic"
"Steps-Cells-Num",-40.7256458218916,0.3458,NA,NA,0.38,0.26,NA,NA,"S33556439","Heuristic"
"Steps-Num",-42.0432968174995,3.1582,NA,NA,1,0.1,NA,NA,"S33556439","Heuristic"
"Cells",-54.968301352449,8,NA,NA,0,NA,NA,NA,"S38995809","Heuristic"
"Cells-Num",-48.2799250005032,8,NA,NA,0,0.1,NA,NA,"S38995809","Heuristic"
"DU",-20.4561927982167,0.547,0.48,1,NA,NA,NA,NA,"S38995809","Planning"
"DU-Num",-22.4404003702,0.3244,0.34,1,NA,1.74,NA,NA,"S38995809","Planning"
"EU",-48.4112827909204,3.9506,1,1,NA,NA,NA,NA,"S38995809","Planning"
"EU-Num",-48.4112827909204,3.9506,1,1,NA,10,NA,NA,"S38995809","Planning"
"PW",-24.5159590119713,0.7214,1,0.2294,NA,NA,NA,NA,"S38995809","Planning"
"PW_DU",-20.8809423351,0.4846,0.42,2,NA,NA,NA,NA,"S38995809","Planning"
"Random",-47.0971433953213,1,NA,NA,NA,NA,NA,NA,"S38995809","Heuristic"
"Sampling",-45.055760255187,NA,NA,NA,NA,NA,8,1,"S38995809","Planning"
"Steps",-23.499934125935,1.1552,NA,NA,1,NA,NA,NA,"S38995809","Heuristic"
"Steps-Cells",-23.4793543054828,0.6342,NA,NA,0.76,NA,NA,NA,"S38995809","Heuristic"
"Steps-Cells-Num",-22.7609631889997,0.232,NA,NA,0.78,0.5,NA,NA,"S38995809","Heuristic"
"Steps-Num",-21.727120810144,0.391,NA,NA,1,0.5,NA,NA,"S38995809","Heuristic"
"Cells",-29.7993445469982,2.092,NA,NA,0,NA,NA,NA,"S84110968","Heuristic"
"Cells-Num",-30.3663594769017,0.3688,NA,NA,0,0.1,NA,NA,"S84110968","Heuristic"
"DU",-28.256042329652,0.6342,0.99,1,NA,NA,NA,NA,"S84110968","Planning"
"DU-Num",-31.209969837,0.4,0.77,1,NA,1.7,NA,NA,"S84110968","Planning"
"EU",-27.908625119873,0.6342,1,1,NA,NA,NA,NA,"S84110968","Planning"
"EU-Num",-27.4990882581274,0.7214,1,1,NA,3.96,NA,NA,"S84110968","Planning"
"PW",-28.7957958067789,0.6778,1,1.2716,NA,NA,NA,NA,"S84110968","Planning"
"PW_DU",-28.770684213,0.765,0.928,1.5472,NA,NA,NA,NA,"S84110968","Planning"
"Random",-39.6421234309563,1,NA,NA,NA,NA,NA,NA,"S84110968","Heuristic"
"Sampling",-29.1741289055676,NA,NA,NA,NA,NA,700,14.6,"S84110968","Planning"
"Steps",-44.3610720566029,8,NA,NA,1,NA,NA,NA,"S84110968","Heuristic"
"Steps-Cells",-28.4325413032441,0.6154,NA,NA,0.34,NA,NA,NA,"S84110968","Heuristic"
"Steps-Cells-Num",-26.1751701922515,0.2542,NA,NA,0.4,1.1,NA,NA,"S84110968","Heuristic"
"Steps-Num",-40.9307333285439,5.069,NA,NA,1,0.1,NA,NA,"S84110968","Heuristic"
